User Meteorological Data File (Don't Rewrite!!),,,,,,,,,,,,,,,,,,,,
(Your comment here!),,,,,,,,,,,,,,,,,,,,
Location,Latitude,Longitude,Albedo-JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Measured-Wind-Velocity-Height(m),,,,,
USCO,39.76,134.86,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,74.5,,,,,
M,,,,dt(min),nstep,start-Year,start-Month,start-Day,start-Week,start-hour,:,start-min,-,end-Year,end-Month,end-Day,end-Week,end-hour,:,end-min
9,,,,60,8760,2000,1,1,1,1,:,0,-,2000,12,31,1,24,:,0
UNIT:,SI,,,,,,,Temperature,Humidity,Direct-Solar-Radiation,Diffused-Solar-Radiation,Wind-Direction,Wind-Speed,Cloud-Cover,Nocturnal-Radiation,Atmospheric-Radiation,,,,
Year,Month,Day,Week,hour,:,min,sec,deg-C,g/kg,W/m2,W/m2,1Å`16,m/sec,0Å`10,W/m2,W/m2,,,,
2000,1,1,1,1,:,0,0,0,2.1,0,0,9,2.8,0,63,0,,,,
2000,1,1,1,2,:,0,0,0,2.3,0,0,9,3.3,0,61,0,,,,
2000,1,1,1,3,:,0,0,0,2.1,0,0,8,3.7,0,61,0,,,,
2000,1,1,1,4,:,0,0,0,2.1,0,0,8,4.1,0,61,0,,,,
2000,1,1,1,5,:,0,0,0,2.1,0,0,9,4.6,0,59,0,,,,
2000,1,1,1,6,:,0,0,0,1.8,0,0,13,5,0,56,0,,,,
2000,1,1,1,7,:,0,0,3.3,2.2,0,0,14,3.1,0,59,0,,,,
2000,1,1,1,8,:,0,0,2.2,2.2,0,7,6,4.1,0,36,0,,,,
2000,1,1,1,9,:,0,0,3.3,2.5,68,87,3,3.1,0,44,0,,,,
2000,1,1,1,10,:,0,0,7.2,1.8,16,113,15,9.8,0,42,0,,,,
2000,1,1,1,11,:,0,0,7.8,1.5,746,90,13,10.3,0,67,0,,,,
2000,1,1,1,12,:,0,0,8.9,1.8,933,65,13,9.3,0,80,0,,,,
2000,1,1,1,13,:,0,0,9.4,1.8,940,40,14,9.3,0,80,0,,,,
2000,1,1,1,14,:,0,0,10.6,1.5,935,18,13,9.3,0,90,0,,,,
2000,1,1,1,15,:,0,0,10,1.5,826,4,14,4.6,0,83,0,,,,
2000,1,1,1,16,:,0,0,9.4,1.7,671,0,12,8.8,0,86,0,,,,
2000,1,1,1,17,:,0,0,6.7,1.4,79,13,1,7.7,0,85,0,,,,
2000,1,1,1,18,:,0,0,5.6,1.4,0,0,3,4.6,0,84,0,,,,
2000,1,1,1,19,:,0,0,2.8,1.6,0,0,5,1.5,0,80,0,,,,
2000,1,1,1,20,:,0,0,2.2,1.6,0,0,5,3.1,0,79,0,,,,
2000,1,1,1,21,:,0,0,1.7,1.4,0,0,3,2.1,0,76,0,,,,
2000,1,1,1,22,:,0,0,0.6,1.4,0,0,3,2.6,0,66,0,,,,
2000,1,1,1,23,:,0,0,0,1.7,0,0,2,9.3,0,64,0,,,,
2000,1,2,2,0,:,0,0,-4.4,2,0,0,1,7.7,0,34,0,,,,
2000,1,2,2,1,:,0,0,-5.6,1.8,0,0,1,7.7,0,35,0,,,,
2000,1,2,2,2,:,0,0,-7.2,1.4,0,0,1,8.2,0,37,0,,,,
2000,1,2,2,3,:,0,0,-8.9,1.3,0,0,1,6.2,0,36,0,,,,
2000,1,2,2,4,:,0,0,-9.4,1.3,0,0,2,6.2,0,36,0,,,,
2000,1,2,2,5,:,0,0,-10.6,1.2,0,0,3,5.7,0,36,0,,,,
2000,1,2,2,6,:,0,0,-11.7,1,0,0,2,5.1,0,38,0,,,,
2000,1,2,2,7,:,0,0,-12.2,1.1,0,0,2,6.2,0,37,0,,,,
2000,1,2,2,8,:,0,0,-12.2,1,0,3,2,6.7,0,38,0,,,,
2000,1,2,2,9,:,0,0,-12.8,1,3,26,3,6.2,0,37,0,,,,
2000,1,2,2,10,:,0,0,-12.8,0.8,4,47,4,4.6,0,39,0,,,,
2000,1,2,2,11,:,0,0,-12.8,0.8,4,63,3,4.1,0,39,0,,,,
2000,1,2,2,12,:,0,0,-13.9,0.8,4,72,2,8.2,0,39,0,,,,
2000,1,2,2,13,:,0,0,-15,0.8,4,72,2,6.7,0,38,0,,,,
2000,1,2,2,14,:,0,0,-15,0.8,4,63,2,6.2,0,38,0,,,,
2000,1,2,2,15,:,0,0,-15,0.7,4,47,1,6.7,0,40,0,,,,
2000,1,2,2,16,:,0,0,-16.1,0.6,3,26,3,5.1,0,40,0,,,,
2000,1,2,2,17,:,0,0,-17.2,0.6,1,3,2,6.2,0,39,0,,,,
2000,1,2,2,18,:,0,0,-17.8,0.6,0,0,2,6.2,0,39,0,,,,
2000,1,2,2,19,:,0,0,-17.8,0.5,0,0,3,6.2,0,41,0,,,,
2000,1,2,2,20,:,0,0,-18.3,0.5,0,0,3,4.6,0,40,0,,,,
2000,1,2,2,21,:,0,0,-18.3,0.4,0,0,3,5.1,0,41,0,,,,
2000,1,2,2,22,:,0,0,-18.9,0.5,0,0,3,5.1,0,40,0,,,,
2000,1,2,2,23,:,0,0,-19.4,0.5,0,0,2,5.1,0,40,0,,,,
2000,1,3,3,0,:,0,0,-18.9,0.5,0,0,4,5.1,0,40,0,,,,
2000,1,3,3,1,:,0,0,-19.4,0.5,0,0,5,4.6,0,40,0,,,,
2000,1,3,3,2,:,0,0,-18.9,0.5,0,0,5,4.6,0,40,0,,,,
2000,1,3,3,3,:,0,0,-18.9,0.4,0,0,3,3.6,0,40,0,,,,
2000,1,3,3,4,:,0,0,-19.4,0.5,0,0,3,3.1,0,40,0,,,,
2000,1,3,3,5,:,0,0,-20,0.4,0,0,2,4.1,0,40,0,,,,
2000,1,3,3,6,:,0,0,-20.6,0.4,0,0,3,5.1,0,51,0,,,,
2000,1,3,3,7,:,0,0,-20.6,0.4,0,0,4,5.7,0,40,0,,,,
2000,1,3,3,8,:,0,0,-20.6,0.4,0,7,16,3.1,0,47,0,,,,
2000,1,3,3,9,:,0,0,-20.6,0.4,33,77,16,6.7,0,51,0,,,,
2000,1,3,3,10,:,0,0,-21.1,0.3,9,102,14,5.1,0,47,0,,,,
2000,1,3,3,11,:,0,0,-22.2,0.3,9,136,14,4.6,0,46,0,,,,
2000,1,3,3,12,:,0,0,-20,0.3,916,64,15,4.1,0,63,0,,,,
2000,1,3,3,13,:,0,0,-18.9,0.4,889,39,14,4.1,0,60,0,,,,
2000,1,3,3,14,:,0,0,-18.9,0.3,453,101,1,4.1,0,61,0,,,,
2000,1,3,3,15,:,0,0,-19.4,0.4,449,68,14,3.1,0,62,0,,,,
2000,1,3,3,16,:,0,0,-20.6,0.4,613,4,1,3.1,0,59,0,,,,
2000,1,3,3,17,:,0,0,-20.6,0.3,54,14,1,2.6,0,57,0,,,,
2000,1,3,3,18,:,0,0,-21.1,0.3,0,0,3,2.1,0,58,0,,,,
2000,1,3,3,19,:,0,0,-21.7,0.3,0,0,1,2.6,0,58,0,,,,
2000,1,3,3,20,:,0,0,-21.7,0.3,0,0,6,2.6,0,56,0,,,,
2000,1,3,3,21,:,0,0,-20.6,0.3,0,0,7,4.1,0,59,0,,,,
2000,1,3,3,22,:,0,0,-20.6,0.3,0,0,9,3.6,0,59,0,,,,
2000,1,3,3,23,:,0,0,-20.6,0.4,0,0,8,4.1,0,58,0,,,,
2000,1,4,4,0,:,0,0,-22.2,0.3,0,0,2,2.6,0,59,0,,,,
2000,1,4,4,1,:,0,0,-23.3,0.2,0,0,3,3.1,0,62,0,,,,
2000,1,4,4,2,:,0,0,-24.4,0.2,0,0,9,2.6,0,67,0,,,,
2000,1,4,4,3,:,0,0,-23.3,0.1,0,0,8,2.1,0,70,0,,,,
2000,1,4,4,4,:,0,0,-23.3,0.3,0,0,8,4.1,0,66,0,,,,
2000,1,4,4,5,:,0,0,-23.3,0.2,0,0,9,4.6,0,68,0,,,,
2000,1,4,4,6,:,0,0,-23.3,0.2,0,0,8,3.6,0,69,0,,,,
2000,1,4,4,7,:,0,0,-23.3,0.2,0,0,8,4.1,0,68,0,,,,
2000,1,4,4,8,:,0,0,-23.9,0.2,0,22,8,1.5,0,65,0,,,,
2000,1,4,4,9,:,0,0,-22.8,0.3,374,101,2,2.1,0,66,0,,,,
2000,1,4,4,10,:,0,0,-20,0.3,547,116,5,2.6,0,69,0,,,,
2000,1,4,4,11,:,0,0,-16.7,0.4,932,92,9,2.6,0,69,0,,,,
2000,1,4,4,12,:,0,0,-16.1,0.5,964,67,16,4.6,0,70,0,,,,
2000,1,4,4,13,:,0,0,-15,0.6,964,44,2,3.1,0,69,0,,,,
2000,1,4,4,14,:,0,0,-11.7,0.5,938,18,2,4.6,0,73,0,,,,
2000,1,4,4,15,:,0,0,-12.8,0.6,857,1,2,2.1,0,71,0,,,,
2000,1,4,4,16,:,0,0,-14.4,0.6,682,0,16,5.1,0,69,0,,,,
2000,1,4,4,17,:,0,0,-16.7,0.5,116,11,1,4.6,0,68,0,,,,
2000,1,4,4,18,:,0,0,-20,0.3,0,0,16,3.1,0,68,0,,,,
2000,1,4,4,19,:,0,0,-20,0.4,0,0,6,2.1,0,67,0,,,,
2000,1,4,4,20,:,0,0,-19.4,0.4,0,0,8,2.6,0,67,0,,,,
2000,1,4,4,21,:,0,0,-20,0.3,0,0,9,4.1,0,59,0,,,,
2000,1,4,4,22,:,0,0,-19.4,0.4,0,0,9,5.1,0,59,0,,,,
2000,1,4,4,23,:,0,0,-18.9,0.4,0,0,10,2.6,0,61,0,,,,
2000,1,5,5,0,:,0,0,-18.9,0.5,0,0,8,2.6,0,66,0,,,,
2000,1,5,5,1,:,0,0,-17.8,0.5,0,0,9,4.6,0,67,0,,,,
2000,1,5,5,2,:,0,0,-18.3,0.5,0,0,8,2.6,0,67,0,,,,
2000,1,5,5,3,:,0,0,-16.1,0.5,0,0,8,6.7,0,70,0,,,,
2000,1,5,5,4,:,0,0,-1.1,0.5,0,0,8,5.1,0,87,0,,,,
2000,1,5,5,5,:,0,0,-11.7,0.5,0,0,10,6.2,0,74,0,,,,
2000,1,5,5,6,:,0,0,-9.4,0.6,0,0,9,5.1,0,71,0,,,,
2000,1,5,5,7,:,0,0,-11.1,0.7,0,0,9,6.2,0,65,0,,,,
2000,1,5,5,8,:,0,0,-5.6,0.8,0,22,8,7.7,0,71,0,,,,
2000,1,5,5,9,:,0,0,-1.7,0.8,618,107,9,7.7,0,71,0,,,,
2000,1,5,5,10,:,0,0,2.2,1.4,801,105,9,7.7,0,70,0,,,,
2000,1,5,5,11,:,0,0,4.4,2,829,84,9,9.3,0,63,0,,,,
2000,1,5,5,12,:,0,0,7.2,1.4,792,68,9,6.7,0,68,0,,,,
2000,1,5,5,13,:,0,0,8.9,1.4,864,37,9,6.7,0,73,0,,,,
2000,1,5,5,14,:,0,0,10.6,1.4,862,16,8,5.7,0,76,0,,,,
2000,1,5,5,15,:,0,0,6.1,2.3,819,1,15,4.6,0,71,0,,,,
2000,1,5,5,16,:,0,0,5.6,2.2,644,0,14,3.1,0,70,0,,,,
2000,1,5,5,17,:,0,0,3.3,2.2,86,14,1,2.6,0,66,0,,,,
2000,1,5,5,18,:,0,0,-1.1,1.5,0,0,12,2.1,0,66,0,,,,
2000,1,5,5,19,:,0,0,-1.1,1.8,0,0,8,5.7,0,64,0,,,,
2000,1,5,5,20,:,0,0,-1.1,1.6,0,0,9,6.7,0,65,0,,,,
2000,1,5,5,21,:,0,0,-3.3,1.6,0,0,12,5.1,0,69,0,,,,
2000,1,5,5,22,:,0,0,-2.2,1.7,0,0,13,5.1,0,66,0,,,,
2000,1,5,5,23,:,0,0,-2.8,1.6,0,0,10,7.2,0,66,0,,,,
2000,1,6,6,0,:,0,0,-2.2,1.4,0,0,9,3.6,0,68,0,,,,
2000,1,6,6,1,:,0,0,-3.3,1.4,0,0,9,2.6,0,66,0,,,,
2000,1,6,6,2,:,0,0,-3.3,1.2,0,0,9,3.1,0,68,0,,,,
2000,1,6,6,3,:,0,0,0,1.2,0,0,9,4.6,0,75,0,,,,
2000,1,6,6,4,:,0,0,1.1,1.3,0,0,9,3.1,0,76,0,,,,
2000,1,6,6,5,:,0,0,-2.8,1.3,0,0,9,3.6,0,71,0,,,,
2000,1,6,6,6,:,0,0,-2.2,1.4,0,0,9,7.2,0,71,0,,,,
2000,1,6,6,7,:,0,0,-2.8,1.3,0,0,9,7.2,0,71,0,,,,
2000,1,6,6,8,:,0,0,-2.8,1.2,0,24,9,5.7,0,71,0,,,,
2000,1,6,6,9,:,0,0,2.2,1.4,668,110,9,6.2,0,75,0,,,,
2000,1,6,6,10,:,0,0,7.2,1.1,788,104,9,5.7,0,75,0,,,,
2000,1,6,6,11,:,0,0,9.4,1,891,90,9,5.7,0,84,0,,,,
2000,1,6,6,12,:,0,0,10.6,1.7,921,65,9,4.1,0,79,0,,,,
